radar_include,app_CODE,App_name,app_image,Author,Linked_megatrends,main_mega_link,Count mega trends,linked_microtrends,micro_code_list,MicroT #1,MicroT #2,MicroT #3,MicroT #4,MegaT #1,MegaT #2,MegaT #3,MegaT #4,App_description,filter_lists,implementation,technology,partner
1,INCLFACI,Inclusive Facilities,https://www.logistec.com/wp-content/uploads/2017/12/placeholder.png,man,"Corporate Responsibility
Experiences

Seamlessness/Ease",vocabulary_ich_1284,3,"Genderless / Gender Neutral,Welcome Tourism,Foreign Residents,Flexible Workplaces","MT32,MT26,MT16,MT38",MT32,MT26,MT16,MT38,Corporate Responsibility,Experiences,Corporate Responsibility,Seamlessness/Ease,Living in a world of personalization means stop applying the one size fits all to everyone and that means accepting people in their differences in more serious environments.,pcg,0,0,0
1,GENDDESI,Genderless Product Design,https://www.logistec.com/wp-content/uploads/2017/12/placeholder.png,man,"Corporate Responsibility


",vocabulary_ich_1284,1,Genderless / Gender Neutral,MT32,MT32,,,,Corporate Responsibility,,,,,humanresources,1,0,1
1,NUTRCOUN,Nutritional Personal Counseling,https://www.logistec.com/wp-content/uploads/2017/12/placeholder.png,man,"Health And Wellness


",vocabulary_ich_1264,1,"Gut-Friendly Food,Health Consciousness,Functional Food","MT14,MT08,MT30",MT14,MT08,MT30,,Health And Wellness,Health And Wellness,Health And Wellness,,With specific tests being more affordable - like genetic tests - diet plans can be more informed and tackle different types of bodies and what works for them.  ,logistics,0,0,2
1,PROBIOTI,Pro and Prebiotics,https://www.logistec.com/wp-content/uploads/2017/12/placeholder.png,aec,"Health And Wellness


",vocabulary_ich_1264,1,Gut-Friendly Food,MT14,MT14,,,,Health And Wellness,,,,,pcg,1,0,0
1,FREEFROM,Free From Products,https://www.logistec.com/wp-content/uploads/2017/12/placeholder.png,man,"Health And Wellness


",vocabulary_ich_1264,1,"Gut-Friendly Food,Functional Food","MT14,MT30",MT14,MT30,,,Health And Wellness,Health And Wellness,,,"Technology adoption among is universally attributed to Millenials and younger generations. This is partly true, but leads to a gross underestimation of tech use in older generations. Especially older urban dwellers are more than happy to adopt smart locks for safety, kitchen assistants for convenient cooking and uber to stop waiting for a taxi while it's raining.
This proves to be a greatly misrepresented segment that embodies a great business oportunity, if only companies start planning around it (remember older generations also have greater purchasing power).",humanresources,0,1,2
1,HEALSUPP,Health Support Range,https://www.logistec.com/wp-content/uploads/2017/12/placeholder.png,tpc,"Health And Wellness


",vocabulary_ich_1264,1,Health Consciousness,MT08,MT08,,,,Health And Wellness,,,,Provide a range of products that ease the health monitoring. A range of services that take advantage of these health monitoring devices such as sleep advising.,logistics,1,0,3
1,PROMHEAL,Promote and Communicate Health,https://www.logistec.com/wp-content/uploads/2017/12/placeholder.png,tpc,"Health And Wellness
Hiper Personalization

",vocabulary_ich_1264,2,"Health Consciousness,Flexitarianism","MT08,MT10",MT08,MT10,,,Health And Wellness,Hiper Personalization,,,"Besides providing products with heathy features, communicate these features through the adequate channels. People are eager to learn more about health, so provide information for customers and employees about what is healthy (foods and behaviours) and promote discussions about pros and cons of controversy topics.

Create initiatives for customer and for employees that promote healthy habits such as sports events, or educative workshops about food, postures, or stress management.",pcg,1,0,0
1,HEALINDU,Healthier Versions of Indulgences,https://www.logistec.com/wp-content/uploads/2017/12/placeholder.png,man,"Experiences
Health And Wellness
Informed People
",vocabulary_ich_1287,3,"Healthy Junk Food,Health Consciousness,Liquid Expectations","MT31,MT08,MT18",MT31,MT08,MT18,,Experiences,Health And Wellness,Informed People,,Superfood enriched sweets,humanresources,2,1,6
1,GRMTJNKR,Gourmet Junk Foods in restaurants,https://www.logistec.com/wp-content/uploads/2017/12/placeholder.png,man,"Experiences
Informed People

",vocabulary_ich_1287,2,"Healthy Junk Food,Liquid Expectations","MT31,MT18",MT31,MT18,,,Experiences,Informed People,,,,logistics,0,0,0
1,GRMTJNKK,Gourmet Junk Foods in kits,https://www.logistec.com/wp-content/uploads/2017/12/placeholder.png,man,"Experiences


",vocabulary_ich_1287,1,Healthy Junk Food,MT31,MT31,,,,Experiences,,,,,pcg,0,0,1
1,QICKDLVR,Quick deliveries,https://www.logistec.com/wp-content/uploads/2017/12/placeholder.png,tpc,"Continuous Connection
Seamlessness/Ease

",vocabulary_ich_1268,2,"Instant Gratification,Quicker Frequent Shopping","MT36,MT21",MT36,MT21,,,Continuous Connection,Seamlessness/Ease,,,"It is now up to companies and institutions to invest in two complementary and necessary venues: transparency so that the person never feels they're being misled and privacy protection methods and structures.

Talk about FREQUENT ONLINE deliveries",humanresources,3,0,0
1,REWASTEP,Reward for each Consumer Journey Step,https://www.logistec.com/wp-content/uploads/2017/12/placeholder.png,jgp,"Continuous Connection


",vocabulary_ich_1268,1,Instant Gratification,MT36,MT36,,,,Continuous Connection,,,,,logistics,1,0,6
1,SOCICOMM,Social Network Commerce,https://www.logistec.com/wp-content/uploads/2017/12/placeholder.png,tpc,"Continuous Connection


",vocabulary_ich_1268,1,Lifecasting,MT28,MT28,,,,Continuous Connection,,,,,pcg,1,0,3
1,VLOGGING,Vlogging,https://www.logistec.com/wp-content/uploads/2017/12/placeholder.png,aec,"Continuous Connection


",vocabulary_ich_1268,1,Lifecasting,MT28,MT28,,,,Continuous Connection,,,,,humanresources,0,0,0
1,CHEACHEA,As cheap as the cheapest,https://www.logistec.com/wp-content/uploads/2017/12/placeholder.png,tpc,"Informed People


",vocabulary_ich_1263,1,Liquid Expectations,MT18,MT18,,,,Informed People,,,,Not every entity has the magnitude of Facebook to withstand the loss of trust and finantial hit breach after breach.,logistics,0,4,22
1,SIMPSHOW,Simple and beautiful showrooms,https://www.logistec.com/wp-content/uploads/2017/12/placeholder.png,aec,"Informed People


",vocabulary_ich_1263,1,Liquid Expectations,MT18,MT18,,,,Informed People,,,,,pcg,3,0,0
1,CONVCONV,As convenient as the most convenient,https://www.logistec.com/wp-content/uploads/2017/12/placeholder.png,jgp,"Informed People


",vocabulary_ich_1263,1,Liquid Expectations,MT18,MT18,,,,Informed People,,,,,humanresources,7,0,14
1,AUTOTASK,Automate repetitive tasks,https://www.logistec.com/wp-content/uploads/2017/12/placeholder.png,tpc,"Experiences


",vocabulary_ich_1287,1,Meaningfull Work,MT42,MT42,,,,Experiences,,,,Identify repetitive mechanical tasks and replace with machines.,logistics,2,3,8
1,JOBROTAT,Job rotation,https://www.logistec.com/wp-content/uploads/2017/12/placeholder.png,tpc,"Experiences


",vocabulary_ich_1287,1,Meaningfull Work,MT42,MT42,,,,Experiences,,,,Promote the rotation of jobs mostly when the tasks are too physical demanding or do not promote intellectual development.,pcg,0,0,0
1,SMALFORM,Small form factors,https://www.logistec.com/wp-content/uploads/2017/12/placeholder.png,tpc,"Hiper Personalization


",vocabulary_ich_1267,1,Mini-Doses,MT41,MT41,,,,Hiper Personalization,,,,"Develop single dose products in all ranges in food, hygiene and home care. Packaging must be innovative to provide economic and environmental sustainability.",humanresources,4,0,0
1,VIRTCARD,Virtual Card Acceptance,https://www.logistec.com/wp-content/uploads/2017/12/placeholder.png,man,"Seamlessness/Ease
Informed People

",vocabulary_ich_1269,2,"Mobile Payments,Liquid Expectations","MT23,MT18",MT23,MT18,,,Seamlessness/Ease,Informed People,,,,logistics,2,0,1
1,LUXURANG,Luxury in every range,https://www.logistec.com/wp-content/uploads/2017/12/placeholder.png,aec,"Informed People


",vocabulary_ich_1263,1,New Luxury,MT34,MT34,,,,Informed People,,,,,pcg,0,0,0
1,AFFOLUXU,Affordable luxury/exquisite items,https://www.logistec.com/wp-content/uploads/2017/12/placeholder.png,nlg,"Informed People


",vocabulary_ich_1263,1,New Luxury,MT34,MT34,,,,Informed People,,,,"Offering products/services perceived as sophisticated, exquisite or luxurious at an affordable price.",humanresources,5,0,0
1,ADAPCONV,Adapt the conversation,https://www.logistec.com/wp-content/uploads/2017/12/placeholder.png,jgp,"Hiper Personalization


",vocabulary_ich_1267,1,Non-Linear Interactive Video Content,MT20,MT20,,,,Hiper Personalization,,,,Adopt new models to access content. People are quitting classical media and moving towards platforms where they can choose the content they want when they want it.,logistics,1,0,1
1,SILVSURF,Silver Surfers,https://www.logistec.com/wp-content/uploads/2017/12/placeholder.png,aec,"Informed People


",vocabulary_ich_1263,1,Old Age New Millenials,MT06,MT06,,,,Informed People,,,,,pcg,2,0,0
1,DIFFSTRY,Every employee has a different story,https://www.logistec.com/wp-content/uploads/2017/12/placeholder.png,jgp,"Hiper Personalization
Authenticity/Disconnection

",vocabulary_ich_1267,2,"Personalized Content,Authentic People","MT02,MT07",MT02,MT07,,,Hiper Personalization,Authenticity/Disconnection,,,,humanresources,0,0,1
1,COMPCONT,Computer generated original content,https://www.logistec.com/wp-content/uploads/2017/12/placeholder.png,nlg,"Hiper Personalization


",vocabulary_ich_1267,1,Personalized Content,MT02,MT02,,,,Hiper Personalization,,,,Creating original marketing/storytelling content through the use of computer algorithms.,logistics,1,0,2
1,PREVPROT,Preventive Protection,https://www.logistec.com/wp-content/uploads/2017/12/placeholder.png,aec,"Corporate Responsibility


",vocabulary_ich_1284,1,Privacy Protection,MT01,MT01,,,,Corporate Responsibility,,,,,pcg,2,0,1
1,REACTRAN,Reactive Transparency,https://www.logistec.com/wp-content/uploads/2017/12/placeholder.png,aec,"Corporate Responsibility


",vocabulary_ich_1284,1,Privacy Protection,MT01,MT01,,,,Corporate Responsibility,,,,,humanresources,0,0,0
1,SAFEBACK,Keep your backyard safe,https://www.logistec.com/wp-content/uploads/2017/12/placeholder.png,nlg,"Corporate Responsibility


",vocabulary_ich_1284,1,Privacy Protection,MT01,MT01,,,,Corporate Responsibility,,,,Protecting customers from unauthorized or involuntary access or use of their personal/proprietary data.,logistics,2,0,0
1,AGILSHOP,Agile shopping experience,https://www.logistec.com/wp-content/uploads/2017/12/placeholder.png,tpc,"Seamlessness/Ease


",vocabulary_ich_1269,1,Quicker Frequent Shopping,MT21,MT21,,,,Seamlessness/Ease,,,,,pcg,0,0,0
1,INTERENE,Internalize Renewable energy ,https://www.logistec.com/wp-content/uploads/2017/12/placeholder.png,tpc,"Sustainability


",vocabulary_ich_1286,1,Renewable Charged Future,MT13,MT13,,,,Sustainability,,,,,humanresources,0,4,5
1,COMMRENE,Commercialize Renewable energy ,https://www.logistec.com/wp-content/uploads/2017/12/placeholder.png,tpc,"Sustainability


",vocabulary_ich_1286,1,Renewable Charged Future,MT13,MT13,,,,Sustainability,,,,,logistics,0,1,2
1,ELECTRUC,Electric Trucks ,https://www.logistec.com/wp-content/uploads/2017/12/placeholder.png,man,"Sustainability


",vocabulary_ich_1286,1,Renewable Charged Future,MT13,MT13,,,,Sustainability,,,,,pcg,0,0,0
1,ELECDELI,Last mile electric deliveries,https://www.logistec.com/wp-content/uploads/2017/12/placeholder.png,man,"Sustainability


",vocabulary_ich_1286,1,Renewable Charged Future,MT13,MT13,,,,Sustainability,,,,,humanresources,0,0,0
1,AUTOSUST,Auto-sustainable stores & companies,https://www.logistec.com/wp-content/uploads/2017/12/placeholder.png,man,"Sustainability


",vocabulary_ich_1286,1,Renewable Charged Future,MT13,MT13,,,,Sustainability,,,,,logistics,1,0,6
1,PARAOFFE,Paradoxical Offer,https://www.logistec.com/wp-content/uploads/2017/12/placeholder.png,tpc,"Informed People


",vocabulary_ich_1263,1,Schizophrenic Consumption,MT40,MT40,,,,Informed People,,,,,pcg,0,0,0
1,PARAPROD,Paradoxical products,https://www.logistec.com/wp-content/uploads/2017/12/placeholder.png,nlg,"Informed People


",vocabulary_ich_1263,1,Schizophrenic Consumption,MT40,MT40,,,,Informed People,,,,Offering products that embrace the inner ambiguities and contradictions of customers' needs and wants.,humanresources,2,0,0
1,SHARTALE,Share Talent,https://www.logistec.com/wp-content/uploads/2017/12/placeholder.png,jgp,"Sustainability


",vocabulary_ich_1286,1,Sharing Economy,MT04,MT04,,,,Sustainability,,,,,logistics,1,0,1
1,SHARFUTU,Share a better future,https://www.logistec.com/wp-content/uploads/2017/12/placeholder.png,jgp,"Sustainability


",vocabulary_ich_1286,1,Sharing Economy,MT04,MT04,,,,Sustainability,,,,,pcg,0,0,2
1,CUSTSTOR,Customer neverending story,https://www.logistec.com/wp-content/uploads/2017/12/placeholder.png,jgp,"Experiences
Authenticity/Disconnection
Hiper Personalization
",vocabulary_ich_1287,3,"Storytelling,Authentic People,Personalized Content","MT35,MT07,MT02",MT35,MT07,MT02,,Experiences,Authenticity/Disconnection,Hiper Personalization,,,humanresources,8,0,2
1,PRODSTOR,Product neverending story,https://www.logistec.com/wp-content/uploads/2017/12/placeholder.png,jgp,"Experiences


",vocabulary_ich_1287,1,Storytelling,MT35,MT35,,,,Experiences,,,,,logistics,1,0,2
1,EMPLSTOR,Employee neverending story,https://www.logistec.com/wp-content/uploads/2017/12/placeholder.png,jgp,"Experiences


",vocabulary_ich_1287,1,Storytelling,MT35,MT35,,,,Experiences,,,,,pcg,1,0,0
1,AUTORECO,Automatic Recommendations,https://www.logistec.com/wp-content/uploads/2017/12/placeholder.png,tpc,"Seamlessness/Ease


",vocabulary_ich_1269,1,Too Much Choice/ Simplification,MT39,MT39,,,,Seamlessness/Ease,,,,,humanresources,1,0,5
1,KILLNOIS,Kill the noise,https://www.logistec.com/wp-content/uploads/2017/12/placeholder.png,jgp,"Seamlessness/Ease


",vocabulary_ich_1269,1,Too Much Choice/ Simplification,MT39,MT39,,,,Seamlessness/Ease,,,,,logistics,2,0,4
1,TRACAPPL,Traceability applications,https://www.logistec.com/wp-content/uploads/2017/12/placeholder.png,nlg,"Corporate Responsibility


",vocabulary_ich_1284,1,Transparency (Non-Food),MT05,MT05,,,,Corporate Responsibility,,,,Adopting solutions and establishing partnerships that enable a supply-chain-wide traceability.,pcg,0,0,4
1,TRANWATC,Transparency watchdogs,https://www.logistec.com/wp-content/uploads/2017/12/placeholder.png,nlg,"Corporate Responsibility


",vocabulary_ich_1284,1,Transparency (Non-Food),MT05,MT05,,,,Corporate Responsibility,,,,Adopting solutions and establishing partnerships that supervise the compliance of supply-chain practices with established standards.,humanresources,1,0,1
1,HOMETRYO,Home Try on real products,https://www.logistec.com/wp-content/uploads/2017/12/placeholder.png,tpc,"Informed People


",vocabulary_ich_1263,1,Try Before You Buy,MT25,MT25,,,,Informed People,,,,,logistics,1,0,0
1,VIRTTRYO,Virtual try on (remote or instore),https://www.logistec.com/wp-content/uploads/2017/12/placeholder.png,tpc,"Informed People


",vocabulary_ich_1263,1,Try Before You Buy,MT25,MT25,,,,Informed People,,,,,pcg,0,0,2
1,ALTEPLAS,Alternative materials to plastic,https://www.logistec.com/wp-content/uploads/2017/12/placeholder.png,aec,"Sustainability


",vocabulary_ich_1286,1,"War On Plastic,Zero Waste","MT27,MT15",MT27,MT15,,,Sustainability,Sustainability,,,,humanresources,3,1,5
1,REUSPACK,Reusable Packaging,https://www.logistec.com/wp-content/uploads/2017/12/placeholder.png,aec,"Sustainability


",vocabulary_ich_1286,1,"War On Plastic,Zero Waste,Bulk Foods","MT27,MT15,MT33",MT27,MT15,MT33,,Sustainability,Sustainability,Sustainability,,,logistics,1,0,2
1,RETHPACK,Rethink packages,https://www.logistec.com/wp-content/uploads/2017/12/placeholder.png,man,"Sustainability


",vocabulary_ich_1286,1,"War On Plastic,Zero Waste","MT27,MT15",MT27,MT15,,,Sustainability,Sustainability,,,,pcg,1,0,2
1,EDUCCUST,Educate customers,https://www.logistec.com/wp-content/uploads/2017/12/placeholder.png,man,"Sustainability


",vocabulary_ich_1286,1,"War On Plastic,Zero Waste","MT27,MT15",MT27,MT15,,,Sustainability,Sustainability,,,,humanresources,0,0,0
1,RECYCLES,Recycle ,https://www.logistec.com/wp-content/uploads/2017/12/placeholder.png,man,"Sustainability


",vocabulary_ich_1286,1,"War On Plastic,Zero Waste","MT27,MT15",MT27,MT15,,,Sustainability,Sustainability,,,,logistics,2,0,0
1,OMNILING,Omnilingue,https://www.logistec.com/wp-content/uploads/2017/12/placeholder.png,man,"Experiences
Corporate Responsibility

",vocabulary_ich_1287,2,"Welcome Tourism,Foreign Residents","MT26,MT16",MT26,MT16,,,Experiences,Corporate Responsibility,,,,pcg,0,0,2
1,VISIPAIN,Visitors' Pains Killer,https://www.logistec.com/wp-content/uploads/2017/12/placeholder.png,nlg,"Experiences


",vocabulary_ich_1287,1,Welcome Tourism,MT26,MT26,,,,Experiences,,,,Offering products and services that solve or mitigate nuisances and inconveniences of foreign visitors.,humanresources,2,0,0
1,VISIPERK,Visitors' Perks,https://www.logistec.com/wp-content/uploads/2017/12/placeholder.png,nlg,"Experiences


",vocabulary_ich_1287,1,Welcome Tourism,MT26,MT26,,,,Experiences,,,,Offering advantages and benefits to foreign visitors that help them make the most of their visits and optimize their experience.,logistics,1,0,0
1,WASTBASE,Waste based products,https://www.logistec.com/wp-content/uploads/2017/12/placeholder.png,tpc,"Sustainability


",vocabulary_ich_1286,1,Zero Waste,MT15,MT15,,,,Sustainability,,,,,pcg,1,0,2
1,OPTICYCL,Optimize Product Life Cycle,https://www.logistec.com/wp-content/uploads/2017/12/placeholder.png,man,"Sustainability


",vocabulary_ich_1286,1,Zero Waste,MT15,MT15,,,,Sustainability,,,,,humanresources,1,0,5
1,PERCONGDS,Personalized Consumer Goods,https://www.logistec.com/wp-content/uploads/2017/12/placeholder.png,jgp,Hiper Personalization,vocabulary_ich_1267,1,Personalized Content,MT02,MT02,,,,Hiper Personalization,,,,,logistics,3,0,3
1,INSTWRTF,Insta-Worthy Facilities,https://www.logistec.com/wp-content/uploads/2017/12/placeholder.png,jgp,Continuous Connection,vocabulary_ich_1268,1,Lifecasting,MT28,MT28,,,,Continuous Connection,,,,,pcg,1,0,0
1,INSTWRTP,Insta-Worthy Products,https://www.logistec.com/wp-content/uploads/2017/12/placeholder.png,jgp,Continuous Connection,vocabulary_ich_1268,1,Lifecasting,MT28,MT28,,,,Continuous Connection,,,,,humanresources,1,0,0
